"businessname","legalowner","namelast","namefirst","licenseno","issdttm","expdttm","licstatus","licensecat","descript","result","resultdttm","violation","viollevel","violdesc","violdttm","violstatus","statusdate","comments","address","city","state","zip","property_id","latitude","longtitude","rank"
"Supreme Market","TEJEDA OSCAR R.","Supreme Market LLC","Att: Bianca Duarte",415161,"2019-12-02 11:33:06","2022-12-31 23:59:00","Active","RF","Retail Food","HE_Fail",2022-01-27,"590.003(A)/3-201.11-P","***","Compliance with Food Law (P)","2022-01-27 10:47:11","Fail","","Discontinue purchasing and selling foods from other "" Retail "" businesses - all foods shall be purchased from reputable wholesale suppliers -  wholesale receipts should kept on site to verify purchases","143   Boylston ST","Jamaica Plain","MA",2130,157994,42.316361,-71.10311,1
"Supreme Pizza","","Charam L L C"," ",123834,"2014-04-04 09:15:40","2022-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_Fail",2022-09-08,"590.006/6-501.112-C","*","Removing Dead or Trapped Birds  Insects  Rodents and other Pest (C)","2022-09-08 12:10:32","Fail","","Remove/replace soiled glue trap in the basement.","177   Massachusetts AVE","Boston","MA",2115,91980,42.34577,-71.08734,1
"SUSAN BAILIS ASSISTED LIVING","ST. BOTOLPH ASSISTED LIVI","ST. BOTOLPH ASSISTED LIVING L.P."," ",22578,"2011-12-30 14:45:36","2022-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Fail",2022-01-25,"590.002(C)/2-102.12-C","*","(A) Certified Food Protection Manager (C)","2022-01-25 10:25:33","Fail","","No proof on site of food manager/allergen awareness certifications. Provide certifications from a full time employee.","352   Massachusetts AVE","Boston","MA",2115,156786,42.342059,-71.083489,1
"SUSHI BY JAY","","Aung Pyaesone"," ",22736,"2011-12-14 12:47:43","2020-12-31 23:59:00","Inactive","RF","Retail Food","HE_NotReq",2022-03-15,"","",""," ","",""," ","1620   Tremont ST","Mission Hill","MA",2120,157493,42.333619,-71.104037,1
"Sushi By Jay @ Stop & Shop","","JAY KIM PRES."," ",24628,"2012-01-05 12:44:20","2020-12-31 23:59:00","Inactive","RF","Retail Food","HE_NotReq",2022-03-15,"","",""," ","",""," ","60  Everett St","Brighton","MA",2134,158333,42.356544,-71.139231,1
"Sushi Factory","SUKRIYE AKTAS","Panda Factory Inc.","Ying Huang",338856,"2017-07-17 07:57:20","2019-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","140   Brighton AVE","Allston","MA",2134,156907,42.352761,-71.131849,1
"Sushi Kappo","  ","Garcia Owner","Jose",338257,"2017-12-21 15:10:19","2022-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_Fail",2022-03-21,"590.002(D)/2-103.11-PF","**","(A)-(P) Person-In-Charge-Duties (Pf)","2022-03-21 11:48:05","Fail","","Nonpayment of the 2022 Health Permit","84   Peterborough ST","Boston","MA",2115,168718,42.343077,-71.09911,1
"Sushi Station","","Liang","Ying Shan",130221,"2014-10-02 12:31:00","2018-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","1562   Tremont ST","Mission Hill","MA",2120,137246,42.33293,-71.1017,1
"Sushiemon","UNITED COMPANY THE","Noriyuki Ikegami"," ",118195,"2013-11-26 09:58:58","2018-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","189   Massachusetts AVE","Boston","MA",2115,92019,42.34531,-71.08717,1
"SUSHI TIME","MCCOY RICHARD","DWAYNE LAW PRES."," ",21959,"2012-02-10 10:55:53","2022-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_Filed",2022-01-11,"590.004/4-501.11-C","*","Good Repair and Proper Adjustment-Equipment (C)","2022-01-11 12:31:10","Fail","","remove all of the shipping plastic on the one door freezer in the kitchen area.","417   Washington ST","Boston","MA",2108,157146,42.35583,-71.0604,1
"Sushi Today","","Edison & Hazel Inc.","Att: Accounts Payable",366188,"2018-06-26 11:10:38","2023-12-31 23:59:00","Active","FS","Eating & Drinking","HE_TSOP",2022-03-23,"590.005/5-501.15-C","*","Outside Receptacles (C)","2022-03-23 13:32:41","Fail","","Outside trash and debris in storage area. Remove and clean","1562   Tremont ST","Mission Hill","MA",2120,137246,42.33293,-71.1017,1
"Sweetgreen","GILLETTE CAFETERIA EDWARD C. COLEMAN","Jammet","Nicolas",145491,"2015-12-08 09:16:15","2023-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_Pass",2022-01-11,"","",""," ","",""," ","800   Boylston ST","Boston","MA",2199,157244,42.347296,-71.081457,1
"Sushic GE","","Sushic GE"," ",317909,"2017-03-07 10:20:03","2018-12-31 23:59:00","Inactive","RF","Retail Food","HE_NotReq",2022-03-15,"","",""," ","",""," ","1065   Commonwealth AVE","Allston","MA",2134,36985,42.35268,-71.12333,1
"TARANTA/LA REINA","","DUARTE CORP."," ",21462,"2012-01-26 12:45:07","2020-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","210   Hanover ST","Boston","MA",2113,158240,42.362919,-71.05563,1
"Suya Joint","S M I L E PRE-SCHOOL INC","Lizotte Owner","Cecelia",142193,"2016-01-20 08:10:26","2022-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Fail",2022-10-21,"590.003/3-304.12-C","*","In-Use Utensils  Between-Use Storage (C)","2022-10-21 18:01:37","Fail","","Soiled knife with food particles was on cutting board the entire time of my inspection and before.- Store in use food contact in hot clear running water","185  Dudley ST","Roxbury","MA",2119,49641,42.32832,-71.08196,1
"Sweet","","Sweet Cupcakes Inc."," ",75534,"2012-01-12 17:38:27","2019-12-31 23:59:00","Inactive","RF","Retail Food","HE_NotReq",2022-03-15,"","",""," ","",""," ","11   School ST","Boston","MA",2109,156095,42.357607,-71.05866,1
"Suya Joint All African Cuisine","MARTIN TODD A","Suya Joint L L C"," ",78073,"2012-03-06 15:42:58","2014-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","25   Poplar ST","Roslindale","MA",2131,111819,42.28635,-71.129,1
"Sweet & Nasty","NOVAK","NOVAK","NIKI",18927,"2011-12-13 11:53:18","2019-12-31 23:59:00","Inactive","RF","Retail Food","HE_NotReq",2022-03-15,"","",""," ","",""," ","90   Massachusetts AVE","Boston","MA",2115,157868,42.348579,-71.088129,1
"Sweet Boba","MOSQUERA L EMILIO","Shallots Inc.","Att: Accounts Payable",403646,"2019-10-18 10:24:54","2023-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_NotReq",2022-03-15,"","",""," ","",""," ","9   William C Kelly SQ","East Boston","MA",2128,151130,42.37451,-71.038828,1
"Sweet Caroline's","HOFFMAN BARRY D TRST","Boylston St. Bar & Restaurant Group L L C"," ",76827,"2012-02-14 09:19:59","2014-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","1252  Boylston St","Boston","MA",2215,18073,42.344737,-71.095964,1
"Sweet Cheeks","","Tiffani Faison","Sweet Cheeks",76664,"2011-12-28 13:19:34","2022-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Fail",2022-03-31,"590.003/3-302.12-C","*","Food Storage Containers Identified with Common Name of Food (C)","2022-03-31 15:32:29","Fail","","Two bulk food containers at lower level without labels. Provide.","144   Brookline AVE","Boston","MA",2215,341545,42.34439,-71.101137,1
"Sweet Cheeks/Fool's Errand","","Faison","Tiffani",354314,"2018-08-10 15:46:04","2022-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Filed",2022-11-02,"590.006/6-301.14-C","*","Handwashing Signage  (C)","2022-11-02 18:47:35","Fail","","Handsink at the bar without signage .Provide.","144   Brookline AVE","Boston","MA",2215,341545,42.34439,-71.101137,1
"Sweet Kingdom","","Allston Sweet Kingdom LLC"," ",371069,"2018-08-10 15:45:15","2022-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_Fail",2022-07-13,"590.003/3-304.12-C","*","In-Use Utensils  Between-Use Storage (C)","2022-07-13 14:28:25","Fail","","Observed in-use utensils stored in stagnant water in room temperature. Discontinue  store properly in a clean/sanitized surface.","145   Harvard AVE","Allston","MA",2134,160944,42.35206,-71.13211,1
"Sweet Life Bakery and Cafe","MARCEL MASSE","Sweetlife Cafe L L C"," ",80916,"2012-09-27 14:06:10","2023-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Fail",2022-05-18,"590.003/3-302.12-C","*","Food Storage Containers Identified with Common Name of Food (C)","2022-05-18 11:27:37","Fail","","Squeeze bottle filled with sauces and dressings have no labels. Provide.","2243   Dorchester AVE","Dorchester","MA",2124,156564,42.273782,-71.06785,1
"Sweet Pepper Restaurant","KHOURY DAVID","Sangadej","Navarat",29375,"2011-12-19 14:17:03","2015-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","559   Washington ST","Brighton","MA",2135,143625,42.34991,-71.1643,1
"Sweet Rice","","Sweet Rice JP Inc.","Att: Accounts Payable",389448,"2019-05-14 11:49:17","2023-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Fail",2022-02-14,"590.003/3-401.14-PF","**","Non-Continuous Cooking of Raw Animal Foods (Pf)","2022-02-14 15:03:00","Fail","","They are partially cooking chicken.  Submit procedures for non-continuos cooking or discontinue the practice.","695   Centre ST","Jamaica Plain","MA",2130,156049,42.31179,-71.11453,1
"Sweet Waffles & Boba","WONG JANEY","Quach","David",371623,"2019-03-15 11:11:46","2022-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_NotReq",2022-03-15,"","",""," ","",""," ","18  Hudson ST","Boston","MA",2111,75857,42.35052,-71.059999,1
"Swish Shabu","  ","SSJHP INC."," ",75673,"2012-02-14 13:38:06","2016-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","84   Peterborough ST","Boston","MA",2115,168718,42.343077,-71.09911,1
"Target Pizza","","Target Pizza And More Inc.","Luis Enrique",386126,"2019-03-14 09:04:02","2022-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_NotReq",2022-03-15,"","",""," ","",""," ","5200   Washington ST","West Roxbury","MA",2132,157843,42.26113,-71.15683,1
"Swiss Bakers","DAK HOLDING CORP","Swissbakers Inc.","Helen & Thomas Stohr",424166,"2021-08-25 08:33:27","2023-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Fail",2022-08-09,"590.002(D)/2-103.11-PF","**","(A)-(P) Person-In-Charge-Duties (Pf)","2022-08-09 11:05:44","Fail","","PIC must properly monitor equipment and product temperatures","168   Western AVE","Allston","MA",2134,148161,42.36301,-71.12851,1
"Swissbakers","DAK HOLDING CORP","Swissbakers Inc."," ",78503,"2013-02-01 08:56:14","2019-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","168   Western AVE","Allston","MA",2134,148161,42.36301,-71.12851,1
"Taste of Eden","","Baker President","Hopa",25860,"2011-12-30 14:20:50","2022-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_NotReq",2022-03-15,"","",""," ","",""," ","38   Norfolk ST","Dorchester","MA",2124,158241,42.289223,-71.07283,1
"SYMPHONY SUSHI","SAM XUE-YUAN ZHENG SYMPHONY SUSHI","SAM XUE-YUAN ZHENG","SYMPHONY SUSHI",22841,"2011-12-30 12:27:58","2022-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Fail",2022-01-07,"590.008/8-103.12-PF","**","Conformance with Approved Procedures (Pf)","2022-01-07 12:26:08","Fail","","Lab report & letter of guarantee observed expired.Provide current letter &  lab report .  Buffer solution #4 observed expired Buffer solution #7 missing. Provide proper buffer solutions to ensure calibration of PH meter.","45   Gainsborough ST","Boston","MA",2115,157800,42.341989,-71.087081,1
"T & E Mini Mart","LE HUNG N TS","Terrence Patterson"," ",86589,"2013-01-28 09:01:17","2018-12-31 23:59:00","Inactive","RF","Retail Food","HE_NotReq",2022-06-13,"","",""," ","",""," ","159  Washington ST","Dorchester","MA",2121,145963,42.30385,-71.0791,1
"T J Maxx (No. 814)","BOSTON RETAIL DEVELOPMENT LP","Attn: Sales Tax"," ",25437,"2011-12-16 11:16:02","2018-12-31 23:59:00","Inactive","RF","Retail Food","HE_NotReq",2022-03-15,"","",""," ","",""," ","350   Washington ST","Boston","MA",2110,144937,42.35639,-71.05897,1
"Taco Bell","","Cantina Hospitality LLC","Attn: Licensing",461964,"2022-06-21 11:00:01","2022-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_Pass",2022-06-21,"","",""," ","",""," ","449 W Broadway ","South Boston","MA",2127,21511,42.335937,-71.04679,1
"Taco Bell No.  29265","ABDELAHAD JOHN","Charter Foods North L L C","Attn: Licensing",90417,"2013-05-02 09:10:10","2023-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_Fail",2022-04-04,"590.004/4-602.13-C","*","Nonfood Contact Surfaces (C)","2022-04-04 11:49:32","Fail","","There is grease and food debris buildup along the cooking line.  Clean the line to remove grease buildup and debris.  The hood was cleaned by a company that is not on the approved list of cleaners in the City of Boston.  Have the hood cleaned by a company approved by BFD or proof that this company is on the list.  cityofboston.gov/fire","1560  VFW PKWY","West Roxbury","MA",2132,140319,42.266743,-71.16857,1
"TACO MEX","LUIS E. VASCO","VASCO","LUIS E.",22547,"2011-12-15 11:11:54","2022-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_Fail",2022-11-03,"590.004/4-501.12-C","*","Cutting Surfaces (C)","2022-11-03 14:25:51","Fail","","Meat cutting board next to cook top worn / Resurface or replace","65   Maverick SQ","East Boston","MA",2128,156782,42.369685,-71.038659,1
"TALK AND WOK CAFE","","Lin","Hang",416809,"2020-07-08 15:46:41","2023-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Fail",2022-03-18,"590.005/5-501.13-C","*","Receptacles (C)","2022-03-18 13:11:32","Fail","","provide covers for all trash receptacles","1277   River ST","Hyde Park","MA",2136,157510,42.255952,-71.124289,1
"TACOMANIA RESTAURANT","","JOSE L. HERNANDEZ"," ",20820,"2011-12-15 11:53:47","2020-12-31 23:59:00","Inactive","FT","Eating & Drinking w/ Take Out","HE_NotReq",2022-03-15,"","",""," ","",""," ","244   Meridian ST","East Boston","MA",2128,156245,42.375917,-71.039339,1
"Tacos El Charro","NAVARRO AIDA L","Aida L Gomez Navarro","Jose Gutierrez",76711,"2012-06-13 10:33:41","2013-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-06-13,"","",""," ","",""," ","349   Centre ST","Jamaica Plain","MA",2130,27995,42.32267,-71.10675,1
"TAIWAN CAFE","","Yan-Fang Zhang Pres."," ",79403,"2012-08-03 14:54:00","2023-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Fail",2022-04-26,"590.003/3-501.13-C","*","Thawing (C)","2022-04-26 14:48:47","Fail","","Frozen raw pork and chicken thawing on prep table in basement. Thaw frozen foods under refrigeration  not at room temperature.","34   Oxford ST","Boston","MA",2111,157443,42.351466,-71.060209,1
"Taj Boston","MPE HOTEL I LLC","IREP Newbury Hotel LLC","Att: Accounts Payable",377333,"2018-10-11 10:00:50","2019-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","15   Arlington ST","Boston","MA",2116,4827,42.35283,-71.0716,1
"TANGIERINO/The Boston Cigar Club","INGALLS W B  TS","FIRST ATLAS LIONS LLC"," ",21737,"2012-01-12 15:32:54","2022-12-31 23:59:00","Active","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","83  Main ST","Charlestown","MA",2129,88678,42.37389,-71.06267,1
"TANTRIC INDIA BISTRO","","MARY SEN"," ",24472,"2012-02-07 10:26:44","2016-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","123   Stuart ST","Boston","MA",2116,156379,42.351378,-71.065729,1
"Tapestry","TUTUNJIAN EDWARD J TS","Ward","Meghann & Marlena",163746,"2016-05-23 15:40:04","2019-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","69  Kilmarnock ST","Boston","MA",2215,81581,42.34258,-71.09953,1
"TAPEO RESTAURANT & TAPAS BAR","TWO-66-268 NEWBURY ST L P","Leon","Fernando",20035,"2012-01-25 09:32:15","2018-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","266  Newbury ST","Boston","MA",2116,101479,42.34918,-71.08319,1
"Taqueria","CARNEY DANIEL W ETAL","Commonwealth Hospitality LLc","Att: Accounts Payable",316765,"2017-07-17 09:38:09","2023-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Fail",2022-05-26,"590.003/3-501.13-C","*","Thawing (C)","2022-05-26 12:42:07","Fail","","Frozen seafood observed being thawed in stagnant water in the 3 bay sink. Discontinue and ensure proper thawing methods are in place.","2297   Dorchester AVE","Dorchester","MA",2124,48568,42.27236,-71.06824,1
"Taqueria El Barrio","","Garcia-Hidalgo","Servio",456237,"2021-07-19 12:18:37","2022-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_Fail",2022-03-14,"590.003/3-302.12-C","*","Food Storage Containers Identified with Common Name of Food (C)","2022-03-14 10:56:36","Fail","","Some bulk food containers without proper labeling. Provide.","201   Brookline AVE","Boston","MA",2215,340960,42.344649,-71.102201,1
"TAQUERIA EL CARRIZAL","AL-ABED BELAL TS","CARPIO","GLORIA",25378,"2011-12-15 13:47:55","2022-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Fail",2022-05-11,"590.004/4-101.16-C","*","Sponges Use Limitation (C)","2022-05-11 11:45:57","Fail","","Observed several sponges in use at three bay sink. Discontinue use.","248   Brighton AVE","Allston","MA",2134,20136,42.35325,-71.13665,1
"TAQUERIA JALISCO","GUZMAN ROGELIO","RAMIRO GONZALEZ"," ",23554,"2011-12-28 14:11:22","2023-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_Filed",2022-03-02,"590.003/3-304.12-C","*","In-Use Utensils  Between-Use Storage (C)","2022-03-02 12:23:53","Fail","","Utensils stored in stagnant water / PIC removed during inspection.  Utensils will be stored clean and dry or submerged in the food with the handle above","291   Bennington ST","East Boston","MA",2128,14703,42.37871,-71.02818,1
"Tarboosh Pizza & Grill","  ","Tarboosh Inc."," ",119291,"2013-11-19 13:58:13","2022-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_Fail",2022-02-11,"590.002(D)/2-103.11-PF","**","(A)-(P) Person-In-Charge-Duties (Pf)","2022-02-11 12:16:42","Fail","","Post the current permit in a location in the food establishment that is conspicuous to consumers.  8-304.11 (A)","2   Brighton AVE","Allston","MA",2134,162562,42.351954,-71.126177,1
"Target No. 2822","GOODYEAR TIRE & RUBBER","Target Corporation"," ",146124,"2015-07-14 09:18:07","2022-12-31 23:59:00","Active","RF","Retail Food","HE_Fail",2022-06-13,"590.002/2-501.11-PF","**","Clean-up of Vomiting and Diarrheal Events (Pf)","2022-06-13 08:24:54","Fail","","No written procedures and kit not complete","1341   Boylston ST","Boston","MA",2215,18094,42.34442,-71.09961,1
"Target Store  T-3368","ONE HUNDRED CAMBRIDGE STREET","Target Corporation","Att: Accounts Payable",436320,"2020-10-20 12:38:06","2022-12-31 23:59:00","Active","RF","Retail Food","HE_Filed",2022-04-19,"590.004/4-502.13-C","*","Single-Service and Single-Use Articles-Use Limitations (C)","2022-04-19 12:02:20","Fail","","Cardboard boxes used for storing of food products on shelves. Assure surface is easy to clean and smooth. Remove and Replace","100   Cambridge ST","Boston","MA",2114,25222,42.360584,-71.062109,1
"Target Store T-3223","R&L PROPERTIES INC","Target Corporation"," ",355482,"2018-03-05 15:30:06","2022-12-31 23:59:00","Active","RF","Retail Food","HE_NotReq",2022-03-15,"","",""," ","",""," ","4165  Washington ST","Roslindale","MA",2131,145139,42.2879,-71.12701,1
"TASCA RESTAURANT","DAN MCMYLER  PRES.","DAN MCMYLER PRES."," ",20062,"2012-01-19 17:51:04","2018-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","1612   Commonwealth AVE","Brighton","MA",2135,156576,42.343328,-71.14265,1
"TASTE OF THE TOWN","CSTONE-BOSTON INC","DAVID H. FISHER","ATTN:  MIKE",21317,"2012-02-01 14:38:33","2015-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","125  Summer ST","Boston","MA",2111,131981,42.353033,-71.057556,1
"Tasty BBQ","MCCOY RICHARD","Almohdan","Khaled",156999,"2016-03-25 15:45:42","2022-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_Fail",2022-09-19,"590.003/3-304.14-C","*","Wiping Cloths  Use Limitation (C)","2022-09-19 13:13:39","Fail","","keep all wiping cloths in a sanitizing solution when not in use.","417   Washington ST","Boston","MA",2108,157146,42.35583,-71.0604,1
"Tasty Burger","","Phil Audino"," ",68539,"2011-12-19 15:20:53","2022-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Fail",2022-05-27,"590.002(B)/2-102.11-PF","**","(A)  (B) and (C)(1)  (4)-(16) Demonstration (Pf)","2022-05-27 12:45:19","Fail","","Priority violations noted on inspection report-  Properly monitor equipment- review policies and procedures","1301   Boylston ST","Boston","MA",2215,162464,42.344744,-71.098289,1
"Tasty Burger 6","P & C COMPANY: TONG'S FAS T FOOD","Gotreau","Chris",410405,"2020-07-16 14:50:15","2022-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Fail",2022-02-11,"590.002(A)/2-101.11-PF","**","Assignment (Pf)","2022-02-11 14:56:07","Fail","","CFPM certificate expired. Provide proof of enrollment at compliance inspection. Allergen certification expires in 3 months.","48   Winter ST","Boston","MA",2108,155968,42.355863,-71.061898,1
"Tasty Burger Back Bay","MASSACHUSETTS BAY","Dubois CEO","Dave",139148,"2015-05-06 09:33:04","2022-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Fail",2022-01-31,"590.003/3-302.12-C","*","Food Storage Containers Identified with Common Name of Food (C)","2022-01-31 13:28:21","Fail","","Multiple squeeze bottles without labels.  Provide.","145  Dartmouth ST","Boston","MA",2116,46313,42.34738,-71.07484,1
"Tasty Burger.","COX RICHARD E","Audino","Phil",78613,"2012-09-14 10:51:12","2018-12-31 23:59:00","Inactive","FT","Eating & Drinking w/ Take Out","HE_NotReq",2022-03-15,"","",""," ","",""," ","69   L ST","South Boston","MA",2127,82582,42.335236,-71.035552,1
"The Boxer dba Finch","  ","HHLP BULFINCH ASSOCIATES L L C","Att: Brian Defrancesco",80367,"2012-08-15 09:41:49","2023-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Pass",2022-10-24,"","",""," ","",""," ","105   Merrimac ST","Boston","MA",2114,167651,42.363881,-71.062398,1
"Tatte Bakery & Cafe","","Tatte Holdings LLC","Att: Accounts Payable",416830,"2020-08-17 09:27:21","2023-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Fail",2022-05-10,"590.002/2-301.14-P","***","When to Wash (P)","2022-05-10 12:32:38","Fail","","Food handlers not washing hands when returning to work/prep areas before resuming Food handlers not washing hands prior to donning on clean gloves","80   Boylston ST","Boston","MA",2116,155859,42.352225,-71.064909,1
"Tavern At End Of The World","OMALLEY PETER J TS","Dermot O'Neill"," ",32550,"2012-01-05 10:40:44","2018-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","108  Cambridge ST","Charlestown","MA",2129,25073,42.382197,-71.07937,1
"Taurus Packing","ZACHARY HAROUTUNIAN LLC","Haroutunian","Richard",73463,"2010-11-05 11:00:31"," ","Inactive","RF","Retail Food","HE_NotReq",2022-09-14,"","",""," ","",""," ","143   Shirley ST","Roxbury","MA",2119,127190,42.32561,-71.06794,1
"Tavern Club","TAVERN CLUB INC.","TAVERN CLUB INC."," ",18117,"2012-02-14 09:18:43","2023-12-31 23:59:00","Active","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","4   Boylston PL","Boston","MA",2116,156405,42.351901,-71.066169,1
"Tavern In The Square","MC CLURE","JAJB INC."," ",68446,"2011-12-29 13:49:27","2022-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Fail",2022-10-26,"590.003/3-302.12-C","*","Food Storage Containers Identified with Common Name of Food (C)","2022-10-26 19:58:26","Fail","","Several bulk food units without labels . Provide.","161   Brighton AVE","Allston","MA",2134,157226,42.353257,-71.132449,1
"Tavern In The Square Restaurant (So. Station)","AU BON PAIN  CO.  INC.","Valentim","Renato",121313,"2014-02-19 11:23:53","2023-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Fail",2022-04-25,"590.002/2-402.11-C","*","Effectiveness-Hair Restraints (C)","2022-04-25 12:48:56","Fail","","Food handler observed without hair restraint. Corrected on site. Food handlers need to have hair covered or restrained at all times when handling food.","640   Atlantic AVE","Boston","MA",2110,156474,42.350021,-71.055941,1
"TAVITAS SOUTH STATION","AU BON PAIN  CO.  INC.","BOOMS","PAUL",138614,"2015-08-13 09:02:22","2021-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","640   Atlantic AVE","Boston","MA",2110,156474,42.350021,-71.055941,1
"Tawakal Halal Cafe","GRILLO JULIO","Noor","Yahya",368737,"2018-10-11 09:58:33","2022-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Fail",2022-05-24,"590.003/3-307.11-C","*","Miscellaneous Sources of Contamination (C)","2022-05-24 08:17:12","Fail","","Bag of onions on floor / Elevate at least 6"" off of floor","389   Maverick ST","East Boston","MA",2128,93071,42.3657,-71.02905,1
"TBaar","","Huang Owner","Yanning",424197,"2020-11-04 08:30:42","2022-12-31 23:59:00","Active","FT","Eating & Drinking w/ Take Out","HE_Fail",2022-10-17,"590.002(B)/2-102.11-PF","**","(A)  (B) and (C)(1)  (4)-(16) Demonstration (Pf)","2022-10-17 13:17:40","Fail","","The PIC left in charge by the owner is not able to respond to food safety questions properly during inteview process - if owner cannot be on site ensure to teach and explain to employee the correct procedures to wash   rinse   sanitize and air dry  all pots  pans  equipment and utensils","754   Huntington AVE","Mission Hill","MA",2115,76421,42.333487,-71.105724,1
"THE LIVING ROOM","","JOHN HAUCK PRES."," ",22462,"2012-01-12 16:18:22","2019-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-06-13,"","",""," ","",""," ","101   Atlantic AVE","Boston","MA",2110,156181,42.361781,-71.052341,1
"Tea Do/ Ice Age","  ","Poon","Shi",91485,"2014-03-18 14:52:11","2022-12-31 23:59:00","Active","FS","Eating & Drinking","HE_Fail",2022-03-08,"590.003/3-304.12-C","*","In-Use Utensils  Between-Use Storage (C)","2022-03-08 11:23:20","Fail","","Scoop for rice stored in 66F water. Store utensils in 135F and above water to avoid contamination.","8   Tyler ST","Boston","MA",2111,323538,42.35103,-71.06043,1
"Tea Forte","HAMILTON JAMES A G TS","Tea Forte Inc.","Kathleen O'Connor",358391,"2018-05-04 15:17:23","2020-12-31 23:59:00","Inactive","RF","Retail Food","HE_NotReq",2022-03-15,"","",""," ","",""," ","91   Newbury ST","Boston","MA",2116,101996,42.3519,-71.07504,1
"Tealosophy","","Jia Quan Zhou/Dali Xiao"," ",127527,"2014-11-19 11:03:54","2017-12-31 23:59:00","Inactive","FS","Eating & Drinking","HE_NotReq",2022-03-15,"","",""," ","",""," ","1 N Beacon ST","Allston","MA",2134,157531,42.353767,-71.137459,1
